Brand,Name,Type,Scent,Longevity,Rating calc,Comments
Montale,Red Vetyver,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Montale,Oudyssee,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Montale,Oudrising,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌗🌑,🟡  10 / 6,
Montale,Boise Fruite,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Montale,Aqua Gold,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Montale,Aoud Lime,Eau de Parfum,🌕🌕🌑🌑🌑,🌕🌕🌕🌗🌑,🟤  10 / 5.5,
Nasomatto,Pardon,Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌗,🟠  10 / 7.5,
Nasomatto,Blamage,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Nasomatto,Black Afgano,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌗,🟣  10 / 8.5,
Nasomatto,Baraonda,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌗,🟣  10 / 8.5,
Omanluxury,Voyage,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌗,🟣  10 / 8,
Omanluxury,Royal Incense,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌕🌕,🟠  10 / 7.5,
Orto Parisi,Brutus,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Pana Dora,Oud Republic,Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌕,🟣  10 / 8,
Pana Dora,Swedish Wood,Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌗🌑,🟡  10 / 6,
Pana Dora,Aqua de Dora,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Parfums de Marly,Sedley,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Parfums de Marly,Herod,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
Parfums de Marly,Perseus,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Parfums de Marly,Pegasus Exclusif,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Parfums de Marly,Haltane,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Parfums de Marly,Greenley,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Parfums de Marly,Oajan,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Parfums de Marly,Godolphin,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌕🌑,🟠  10 / 7.5,
Parfums de Marly,Layton,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Parfums de Marly,Carlisle,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Parfums de Marly,Layton Exclusif,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Maison Francis Kurkdjian,Pluriel Masculin,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Parfums de Marly,Althair,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Sospiro Perfumes,Deep Ocean Amber,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌕🌑,🟣  10 / 8,
Sospiro Perfumes,Vibrato,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Thameen,Regent Leather,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Xerjoff,XJ 1861 Naxos,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Xerjoff,Mefisto,Eau de Parfum,🌕🌕🌗🌑🌑,🌕🌕🌕🌑🌑,🟤  10 / 5.5,
Xerjoff,Mefisto Gentiluomo,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Xerjoff,Comandante!,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Xerjoff,Alexandria II,Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌑,🟠  10 / 7,
Xerjoff,40 Knots,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌕🌑,🟠  10 / 7,
Ahmed Al Maghribi,Blu Oud,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Kenzo,Homme Intense,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Kenzo,Homme Indigo,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Emporio Armani,Stronger With You Parfum,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Paco Rabanne,Phantom Elixir,Elixir,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Valentino,Born In Roma Uomo,Eau de Toilette,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Jean Paul Gaultier,Scandal Pour Homme,Eau de Toilette,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Dolce & Gabbana,Devotion Pour Homme,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Paco Rabanne,Invictus Victory Absolu,Parfum,🌕🌕🌕🌕🌗,🌕🌕🌗🌑🌑,🟠  10 / 7,
Issey Miyake,Le Sel d'Issey,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Michael Kors,Pour Homme,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Jean Paul Gaultier,Le Male Elixir Absolu,Elixir,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
Valentino,Born In Roma Extradose Uomo,Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Coach,Green,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Al Haramain,Amber Oud Dubai Night,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌗🌑,🟠  10 / 7,
Novellista,Citrus Affair,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Hugo Boss,Hugo Superman,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Carolina Herrera,212 VIP Black Elixir,Elixir,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Paco Rabanne,1 Million Gold Elixir,Elixir,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
Bvlgari,Pour Homme,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Philipp Plein,No Limit$,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Davidoff,Cool Elixir,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Missoni,Parfum Pour Homme,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌗🌑🌑,🟡  10 / 6.5,
Jean Paul Gaultier,Scandal Pour Homme Intense,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌗🌑🌑,🟠  10 / 7,
Zadig & Voltaire,This is Really him!,Eau de Toilette,🌕🌕🌕🌗🌑,🌕🌕🌗🌑🌑,🟡  10 / 6,
Hermés,Terre d’Hermès Eau de Parfum Intense,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Carolina Herrera,Bad Boy Elixir,Elixir,🌕🌕🌕🌕🌗,🌕🌕🌕🌗🌑,🟣  10 / 8,
Al Haramain,Detour Eco,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Calvin Klein,CK One Essence,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Emporio Armani,Stronger With You Sandalwood,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌗🌑,🟠  10 / 7.5,
Ahmed Al Maghribi,Azure Royal,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Zimaya,Zukhruf Black,Eau de Parfum,🌕🌕🌕🌕🌕,🌕🌕🌕🌑🌑,🟣  10 / 8,
Giorgio Armani,Acqua di Giò,Eau de Parfum,🌕🌕🌕🌕🌑,🌕🌕🌕🌑🌑,🟠  10 / 7,
Zimaya,Anhaar Dune,Eau de Parfum,🌕🌕🌕🌑🌑,🌕🌕🌕🌑🌑,🟡  10 / 6,
Viktor&Rolf,Spicebomb Metallic Musk,Eau de Parfum,🌕🌕🌕🌕🌗,🌕🌕🌕🌑🌑,🟠  10 / 7.5,
Versace,Eros Energy,Eau de Parfum,🌕🌕🌕🌗🌑,🌕🌕🌑🌑🌑,🟤  10 / 5.5,
Orientica,Exclusive Azure Fantasy,Parfum,🌕🌕🌕🌗🌑,🌕🌕🌕🌑🌑,🟡  10 / 6.5,
